Amount,Category,Description,Date
325329.84,Groceries,Freshly imported French truffles,2024-09-22 00:00:00
193761.22,Fashion,Diamond-encrusted Rolex watch,2025-01-30 00:00:00
466973.61,Fashion,Paris Fashion Week front-row seats,2023-05-26 00:00:00
384711.5,Others,Private jet interior luxury upgrade,2025-09-02 00:00:00
478875.26,Groceries,Exclusive organic farm produce delivery,2023-12-31 00:00:00
313397.7,Others,Exclusive access to the Met Gala,2025-01-28 00:00:00
416637.33,Groceries,Premium Japanese Wagyu beef,2027-01-20 00:00:00
385486.11,Groceries,Premium Japanese Wagyu beef,2027-06-04 00:00:00
435882.6,Education,Oxford law school semester fees,2023-08-06 00:00:00
63606.86,Utilities,Private solar panel installation,2024-01-31 00:00:00
25715.95,Fashion,Paris Fashion Week front-row seats,2027-12-03 00:00:00
328367.7,Groceries,Vintage Napa Valley wine collection,2024-12-17 00:00:00
33449.32,Food,Private chef for home gourmet meals,2027-04-12 00:00:00
15886.06,Food,Fine wine and cheese pairing event,2025-09-17 00:00:00
139048.46,Entertainment,Private screening of latest blockbuster,2026-12-13 00:00:00
15546.04,Education,Oxford law school semester fees,2023-01-15 00:00:00
203969.17,Education,Harvard MBA tuition fee,2027-04-25 00:00:00
478676.24,Utilities,Private solar panel installation,2024-10-15 00:00:00
279630.32,Others,Handcrafted Persian rug for mansion,2027-04-25 00:00:00
497940.29,Food,Exclusive truffle tasting event,2026-12-30 00:00:00
100463.32,Food,Exclusive truffle tasting event,2027-01-08 00:00:00
57260.25,Fashion,Diamond-encrusted Rolex watch,2023-12-23 00:00:00
152837.4,Education,Business leadership course at Stanford,2027-11-14 00:00:00
428924.94,Fashion,Custom-tailored Armani tuxedo,2023-11-13 00:00:00
373663.95,Groceries,Premium Japanese Wagyu beef,2026-04-28 00:00:00
289050.19,Food,Michelin-star restaurant dining,2025-07-21 00:00:00
353997.14,Entertainment,Personalized music concert experience,2025-07-10 00:00:00
83654.07,Utilities,Mansion-wide smart home automation,2026-09-19 00:00:00
130271.61,Education,Exclusive mentorship with a billionaire,2027-03-03 00:00:00
70323.61,Entertainment,Exclusive F1 Monaco Grand Prix suite,2023-09-05 00:00:00
403117.65,Fashion,Diamond-encrusted Rolex watch,2027-06-28 00:00:00
67579.0,Others,Personalized diamond-studded MacBook,2025-03-29 00:00:00
271813.13,Utilities,Luxury climate-controlled wine cellar,2024-02-29 00:00:00
243563.26,Education,Oxford law school semester fees,2026-06-10 00:00:00
294405.29,Groceries,Luxury olive oil shipment from Tuscany,2023-11-22 00:00:00
283908.1,Groceries,Vintage Napa Valley wine collection,2024-12-06 00:00:00
137972.8,Others,Custom-built limited edition Ferrari,2023-01-21 00:00:00
398468.28,Entertainment,VIP Coachella backstage access,2027-08-19 00:00:00
9157.92,Fashion,Limited edition Gucci sneakers,2025-03-31 00:00:00
47744.25,Entertainment,Super Bowl VIP skybox tickets,2026-07-11 00:00:00
428168.13,Utilities,Mansion-wide smart home automation,2025-11-13 00:00:00
263974.6,Education,Exclusive mentorship with a billionaire,2023-02-15 00:00:00
475064.81,Entertainment,Super Bowl VIP skybox tickets,2025-12-31 00:00:00
210496.68,Food,Fine wine and cheese pairing event,2027-12-20 00:00:00
23144.0,Groceries,Vintage Napa Valley wine collection,2026-08-05 00:00:00
413178.66,Education,Business leadership course at Stanford,2026-01-21 00:00:00
381521.55,Others,Exclusive access to the Met Gala,2026-10-18 00:00:00
103678.95,Education,Private space exploration training,2025-06-20 00:00:00
384919.52,Groceries,Vintage Napa Valley wine collection,2027-06-19 00:00:00
398932.27,Fashion,Handcrafted Italian leather shoes,2025-04-12 00:00:00
356238.83,Utilities,Mansion-wide smart home automation,2025-12-28 00:00:00
445500.25,Fashion,Paris Fashion Week front-row seats,2024-07-11 00:00:00
109460.89,Food,Fine wine and cheese pairing event,2026-12-31 00:00:00
334013.21,Entertainment,Exclusive F1 Monaco Grand Prix suite,2024-02-02 00:00:00
482446.82,Groceries,Exclusive organic farm produce delivery,2026-10-14 00:00:00
487808.97,Food,Private chef for home gourmet meals,2026-04-13 00:00:00
471422.11,Others,Exclusive access to the Met Gala,2025-04-18 00:00:00
57444.07,Others,Exclusive access to the Met Gala,2025-05-17 00:00:00
442267.83,Fashion,Handcrafted Italian leather shoes,2024-08-28 00:00:00
438346.31,Education,Harvard MBA tuition fee,2025-10-15 00:00:00
223714.62,Others,Private jet interior luxury upgrade,2027-06-30 00:00:00
413841.1,Utilities,Luxury climate-controlled wine cellar,2025-04-11 00:00:00
317951.22,Education,Exclusive mentorship with a billionaire,2024-02-01 00:00:00
32874.91,Others,Custom-built limited edition Ferrari,2025-12-25 00:00:00
375153.57,Fashion,Paris Fashion Week front-row seats,2027-04-18 00:00:00
426852.38,Fashion,Diamond-encrusted Rolex watch,2023-07-31 00:00:00
6690.69,Others,Personalized diamond-studded MacBook,2025-09-09 00:00:00
35811.44,Entertainment,Super Bowl VIP skybox tickets,2023-09-18 00:00:00
473580.91,Fashion,Handcrafted Italian leather shoes,2024-11-09 00:00:00
33898.41,Education,Business leadership course at Stanford,2027-06-22 00:00:00
319944.47,Education,Oxford law school semester fees,2023-01-03 00:00:00
241482.72,Food,Luxury yacht dining experience,2025-12-19 00:00:00
261891.02,Food,Exclusive truffle tasting event,2025-03-04 00:00:00
385878.72,Food,Luxury yacht dining experience,2025-07-10 00:00:00
329067.7,Education,Private space exploration training,2024-09-04 00:00:00
185602.97,Education,Business leadership course at Stanford,2026-11-17 00:00:00
334233.84,Food,Fine wine and cheese pairing event,2027-08-01 00:00:00
189613.82,Groceries,Freshly imported French truffles,2027-07-12 00:00:00
320209.95,Fashion,Paris Fashion Week front-row seats,2026-02-24 00:00:00
446191.69,Entertainment,Personalized music concert experience,2024-07-10 00:00:00
142019.66,Education,Exclusive mentorship with a billionaire,2024-02-02 00:00:00
281059.79,Fashion,Handcrafted Italian leather shoes,2025-01-27 00:00:00
386978.12,Groceries,Vintage Napa Valley wine collection,2027-11-10 00:00:00
218052.98,Education,Oxford law school semester fees,2025-05-04 00:00:00
83458.0,Fashion,Diamond-encrusted Rolex watch,2024-05-29 00:00:00
223543.03,Groceries,Exclusive organic farm produce delivery,2023-10-18 00:00:00
